id,listing_url,name,host_identity_verified,room_type,accommodates,bedrooms,amenities,price,minimum_nights,number_of_reviews,last_review,review_scores_rating,instant_bookable,region_name,region_parent_name
3162805,https://www.airbnb.com/rooms/3162805,Highfield House Bed & Breakfast,f,Private room,6,3,"[""Shampoo"", ""Breakfast"", ""Garden or backyard"", ""High chair"", ""Heating"", ""Host greets you"", ""Kitchen"", ""Pack \u2019n Play/travel crib"", ""Dryer"", ""Washer"", ""Indoor fireplace"", ""Wifi"", ""TV"", ""Hair dryer"", ""Hot water"", ""Crib"", ""Carbon monoxide alarm"", ""Hangers"", ""Essentials"", ""Laptop-friendly workspace"", ""Children\u2019s books and toys"", ""Lock on bedroom door"", ""Lake access"", ""Free parking on premises"", ""Fire extinguisher"", ""First aid kit"", ""Smoke alarm"", ""Iron""]",$45.00 ,1,67,21-12-19,97,t,Bantry-West Cork LEA-4,Cork County Council
3162083,https://www.airbnb.com/rooms/3162083,Superior Triple Sea View Room,t,Private room,3,1,"[""Essentials"", ""Laptop-friendly workspace"", ""Hair dryer"", ""Hangers"", ""Heating"", ""Indoor fireplace"", ""Fire extinguisher"", ""Smoke alarm"", ""Host greets you"", ""Shampoo"", ""First aid kit"", ""Free parking on premises"", ""Wifi"", ""TV"", ""Iron""]",$165.00 ,1,14,06-09-18,92,f,Cobh LEA-6,Cork County Council
3159277,https://www.airbnb.com/rooms/3159277,Private spacious Bed and Breakfast .,t,Private room,2,1,"[""Essentials"", ""Breakfast"", ""Carbon monoxide alarm"", ""Hair dryer"", ""Hangers"", ""Dryer"", ""Iron"", ""Bed linens"", ""Heating"", ""Indoor fireplace"", ""Hot water"", ""Smoke alarm"", ""Shampoo"", ""First aid kit"", ""Garden or backyard"", ""Free parking on premises"", ""Wifi"", ""TV"", ""Washer""]",$50.00 ,1,300,12-08-20,97,t,Killaloe LEA-5,Clare County Council
3156816,https://www.airbnb.com/rooms/3156816,Double Rm at Grannagh Castle House B&B,t,Private room,2,1,"[""Essentials"", ""Breakfast"", ""Carbon monoxide alarm"", ""Lock on bedroom door"", ""Hair dryer"", ""Heating"", ""Indoor fireplace"", ""Hot water"", ""Coffee maker"", ""Fire extinguisher"", ""Host greets you"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Garden or backyard"", ""First aid kit"", ""Free parking on premises"", ""Wifi"", ""TV"", ""Patio or balcony""]",$75.00 ,1,50,29-10-19,87,f,Piltown LEA-5,Kilkenny County Council
3156132,https://www.airbnb.com/rooms/3156132,Galway 2 & 3 night Specials -see reviews 4 offers,t,Entire home/apt,15,9,"[""Hangers"", ""Hot water"", ""Indoor fireplace"", ""Coffee maker"", ""Lake access"", ""Pack \u2019n Play/travel crib"", ""Free parking on premises"", ""Wifi"", ""TV"", ""Shampoo"", ""Waterfront"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Stove"", ""First aid kit"", ""Dishwasher"", ""High chair"", ""Iron"", ""Washer"", ""Essentials"", ""Carbon monoxide alarm"", ""Cable TV"", ""Crib"", ""Hair dryer"", ""Free street parking"", ""Dryer"", ""Heating"", ""Fire extinguisher"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Ski-in/Ski-out"", ""Laptop-friendly workspace"", ""Long term stays allowed"", ""Beachfront"", ""Children\u2019s books and toys"", ""Oven"", ""Host greets you"", ""Refrigerator"", ""Dishes and silverware""]",$499.00 ,2,7,29-09-19,91,f,Athenry-Oranmore LEA-7,Galway County Council
3151180,https://www.airbnb.com/rooms/3151180,Connors Retreat,t,Entire home/apt,3,2,"[""Essentials"", ""Carbon monoxide alarm"", ""Kitchen"", ""Hangers"", ""Bed linens"", ""Heating"", ""Hot water"", ""Fire extinguisher"", ""Smoke alarm"", ""First aid kit"", ""Free parking on premises"", ""Shampoo""]",$45.00 ,3,42,04-09-19,97,t,Roscommon LEA-6,Roscommon County Council
3149274,https://www.airbnb.com/rooms/3149274,Scenic Holiday Cottage by Sea,f,Entire home/apt,8,3,"[""Shampoo"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Hangers"", ""Dryer"", ""Washer"", ""Essentials"", ""Fire extinguisher"", ""Indoor fireplace"", ""Wifi"", ""TV"", ""Heating"", ""Laptop-friendly workspace"", ""Hair dryer"", ""First aid kit"", ""Smoke alarm"", ""Iron"", ""Kitchen""]",$160.00 ,12,7,15-08-20,97,t,Tralee LEA-7,Kerry County Council
3146425,https://www.airbnb.com/rooms/3146425,Lighthouse Dwelling No. 1 - Tower House,f,Entire home/apt,6,3,"[""Garden or backyard"", ""Bed linens"", ""Heating"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Kitchen"", ""Dryer"", ""Washer"", ""Waterfront"", ""Indoor fireplace"", ""TV"", ""Hair dryer"", ""Hot water"", ""Smoke alarm"", ""Oven"", ""Cooking basics"", ""Hangers"", ""Essentials"", ""Free parking on premises"", ""Stove"", ""Fire extinguisher"", ""Microwave"", ""First aid kit"", ""Refrigerator"", ""Iron""]",$85.00 ,4,78,24-08-20,99,f,Glenties LEA-6,Donegal County Council
3144824,https://www.airbnb.com/rooms/3144824,Modern apartment near town centre.,t,Entire home/apt,4,2,"[""Hangers"", ""Bed linens"", ""Hot water"", ""Indoor fireplace"", ""Free parking on premises"", ""Wifi"", ""TV"", ""Shampoo"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Stove"", ""First aid kit"", ""Iron"", ""Essentials"", ""Carbon monoxide alarm"", ""Cable TV"", ""Hair dryer"", ""Free street parking"", ""Private entrance"", ""Heating"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Oven"", ""Host greets you"", ""Refrigerator"", ""Dishes and silverware""]",$85.00 ,1,265,21-04-20,98,f,Kilkenny LEA-7,Kilkenny County Council
3143570,https://www.airbnb.com/rooms/3143570,2 Bedroom in the heart of the city,t,Entire home/apt,3,2,"[""Breakfast"", ""Hangers"", ""Bed linens"", ""Hot water"", ""Indoor fireplace"", ""Coffee maker"", ""Wifi"", ""Shampoo"", ""Kitchen"", ""Paid parking off premises"", ""Cooking basics"", ""Microwave"", ""Iron"", ""Essentials"", ""Hair dryer"", ""Heating"", ""Fire extinguisher"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Laptop-friendly workspace"", ""Long term stays allowed"", ""Children\u2019s books and toys"", ""Oven"", ""Host greets you"", ""Refrigerator"", ""Dishes and silverware""]",$90.00 ,2,241,23-07-20,94,f,Kilkenny LEA-7,Kilkenny County Council
